date,ticker,action,price,quantity,commission,strategy,zscore
2024-04-30,MHK,SELL,134.5,1,0.06725,mean_reversion,-1268.327309287011
2024-05-01,LEVI,SELL,17.88,1,0.00894,mean_reversion,-1551.2531329351136
2024-05-01,MHK,BUY,160.71,1,0.080355,mean_reversion,-1551.2531329351136
2024-05-02,LEVI,BUY,18.31,1,0.009155,mean_reversion,-1568.4268405184223
2024-05-02,MHK,SELL,162.7,1,0.0813499999999999,mean_reversion,-1568.4268405184223
2024-05-03,LEVI,SELL,18.26,1,0.00913,mean_reversion,-1562.372007716615
2024-05-03,MHK,BUY,162.1,1,0.08105,mean_reversion,-1562.372007716615
2024-05-06,LEVI,BUY,18.33,1,0.009165,mean_reversion,-1550.2623421129997
2024-05-06,MHK,SELL,161.07,1,0.080535,mean_reversion,-1550.2623421129997
2024-05-07,LEVI,SELL,17.87,1,0.008935,mean_reversion,-1504.7960521648802
2024-05-07,MHK,BUY,156.48,1,0.0782399999999999,mean_reversion,-1504.7960521648802
2024-05-08,LEVI,BUY,17.15,1,0.008575,mean_reversion,-1466.8157373171778
2024-05-08,MHK,SELL,152.31,1,0.076155,mean_reversion,-1466.8157373171778
2024-05-09,LEVI,SELL,16.95,1,0.008475,mean_reversion,-1410.560836194929
2024-05-09,MHK,BUY,147.0,1,0.0735,mean_reversion,-1410.560836194929
2024-05-10,LEVI,BUY,17.51,1,0.008755,mean_reversion,-1400.7630158429126
2024-05-10,MHK,SELL,146.67,1,0.073335,mean_reversion,-1400.7630158429126
2024-05-13,LEVI,SELL,17.18,1,0.00859,mean_reversion,-1368.8375337970178
2024-05-13,MHK,BUY,143.44,1,0.07172,mean_reversion,-1368.8375337970178
2024-05-14,LEVI,BUY,17.68,1,0.00884,mean_reversion,-1386.341504987698
2024-05-14,MHK,SELL,145.53,1,0.072765,mean_reversion,-1386.341504987698
2024-05-15,LEVI,SELL,17.52,1,0.00876,mean_reversion,-1398.2309948530658
2024-05-15,MHK,BUY,146.45,1,0.073225,mean_reversion,-1398.2309948530658
2024-05-16,LEVI,BUY,17.79,1,0.008895,mean_reversion,-1371.369554786865
2024-05-16,MHK,SELL,144.28,1,0.07214,mean_reversion,-1371.369554786865
2024-05-17,LEVI,SELL,18.25,1,0.009125,mean_reversion,-1394.9283587793527
2024-05-17,MHK,BUY,146.88,1,0.07344,mean_reversion,-1394.9283587793527
2024-05-20,LEVI,BUY,18.06,1,0.00903,mean_reversion,-1365.6449855924284
2024-05-20,MHK,SELL,144.03,1,0.072015,mean_reversion,-1365.6449855924284
2024-05-21,LEVI,SELL,18.81,1,0.009405,mean_reversion,-1386.891944333317
