date,ticker,action,price,quantity,commission,cash,portfolio_value
2024-05-30,MHK,SELL,155.13,1,0.077565,100090.70432,99992.07432
2024-05-31,LEVI,SELL,19.3,1,0.00965,100109.99467,99994.98467
2024-05-31,MHK,BUY,154.07,1,0.0770349999999999,99955.84763499998,99955.84763499998
2024-06-03,LEVI,BUY,18.82,1,0.00941,99937.01822499998,99953.39822499998
2024-06-03,MHK,SELL,154.54,1,0.0772699999999999,100091.48095499998,99992.850955
2024-06-04,LEVI,SELL,19.04,1,0.0095199999999999,100110.51143499998,99995.50143499998
2024-06-04,MHK,BUY,153.68,1,0.07684,99956.75459499998,99956.75459499998
2024-06-05,LEVI,BUY,19.27,1,0.009635,99937.47495999998,99953.85495999998
2024-06-05,MHK,SELL,155.14,1,0.07757,100092.53738999998,99993.90739
2024-06-06,LEVI,SELL,19.2,1,0.0096,100111.72779,99996.71779
2024-06-06,MHK,BUY,150.84,1,0.07542,99960.81237,99960.81237
2024-06-07,LEVI,BUY,19.08,1,0.00954,99941.72282999998,99958.10283
2024-06-07,MHK,SELL,150.63,1,0.075315,100092.27751499998,99993.647515
2024-06-10,LEVI,SELL,18.83,1,0.009415,100111.09809999996,99996.08809999998
2024-06-10,MHK,BUY,148.73,1,0.074365,99962.29373499996,99962.29373499996
2024-06-11,LEVI,BUY,18.61,1,0.009305,99943.67442999996,99960.05442999996
2024-06-11,MHK,SELL,147.92,1,0.07396,100091.52046999996,99992.89046999998
2024-06-12,LEVI,SELL,18.83,1,0.009415,100110.34105499995,99995.33105499996
2024-06-12,MHK,BUY,149.14,1,0.07457,99961.12648499996,99961.12648499996
2024-06-13,LEVI,BUY,19.23,1,0.009615,99941.88686999996,99958.26686999998
2024-06-13,MHK,SELL,149.86,1,0.07493,100091.67193999996,99993.04193999998
2024-06-14,LEVI,SELL,19.29,1,0.0096449999999999,100110.95229499997,99995.94229499996
2024-06-14,MHK,BUY,148.38,1,0.07419,99962.49810499996,99962.49810499996
2024-06-17,LEVI,BUY,19.24,1,0.00962,99943.24848499996,99959.62848499996
2024-06-17,MHK,SELL,150.08,1,0.07504,100093.25344499997,99994.62344499998
2024-06-18,LEVI,SELL,19.93,1,0.009965,100113.17347999995,99998.16347999996
2024-06-18,MHK,BUY,156.55,1,0.078275,99956.54520499996,99956.54520499996
2024-06-19,LEVI,BUY,19.48,1,0.00974,99937.05546499995,99953.43546499996
2024-06-19,MHK,SELL,155.82,1,0.07791,100092.79755499995,99994.16755499998
2024-06-20,LEVI,SELL,19.7,1,0.00985,100112.48770499996,99997.47770499995
2024-06-20,MHK,BUY,154.95,1,0.077475,99957.46022999995,99957.46022999995
2024-06-21,LEVI,SELL,19.78,1,0.00989,99977.23033999997,99960.85033999996
2024-06-21,MHK,BUY,156.61,1,0.078305,99820.54203499996,99919.17203499997
2024-06-24,LEVI,BUY,19.92,1,0.00996,99800.61207499995,99915.62207499996
2024-06-24,MHK,SELL,158.17,1,0.0790849999999999,99958.70298999996,99958.70298999996
2024-06-25,LEVI,BUY,20.16,1,0.01008,99938.53290999997,99954.91290999996
2024-06-25,MHK,SELL,157.6,1,0.0788,100096.05410999995,99997.42410999998
2024-06-26,LEVI,SELL,20.42,1,0.01021,100116.46389999996,100001.45389999998
2024-06-26,MHK,BUY,157.91,1,0.078955,99958.47494499998,99958.47494499998
2024-06-27,LEVI,BUY,20.68,1,0.01034,99937.78460499998,99954.16460499998
2024-06-27,MHK,SELL,157.08,1,0.07854,100094.78606499998,99996.156065
2024-06-28,LEVI,SELL,20.88,1,0.01044,100115.65562499998,100000.645625
2024-06-28,MHK,BUY,154.34,1,0.07717,99961.23845499998,99961.23845499998
2024-07-01,LEVI,BUY,21.46,1,0.01073,99939.76772499998,99956.147725
