date,ticker,action,price,quantity,commission,strategy,zscore
1043,MHK,BUY,106.33,1,0.053165,mean_reversion,-896.2303116486509
1044,LEVI,BUY,23.12,1,0.01156,mean_reversion,-900.1934749371068
1044,MHK,SELL,106.81,1,0.053405,mean_reversion,-900.1934749371068
1045,LEVI,SELL,19.56,1,0.009779999999999999,mean_reversion,-953.0356521165188
1045,MHK,BUY,108.05,1,0.054025,mean_reversion,-953.0356521165188
1046,LEVI,BUY,19.28,1,0.009640000000000001,trend_following,-1017.1067919465561
1046,MHK,SELL,113.59,1,0.056795000000000005,trend_following,-1017.1067919465561
1047,LEVI,SELL,19.22,1,0.00961,trend_following,-977.1448954546257
1047,MHK,BUY,109.9,1,0.054950000000000006,trend_following,-977.1448954546257
1048,LEVI,BUY,19.08,1,0.00954,trend_following,-983.4199039946809
1048,MHK,SELL,110.33,1,0.055165,trend_following,-983.4199039946809
1049,LEVI,SELL,19.04,1,0.009519999999999999,trend_following,-978.5760377532348
1049,MHK,BUY,109.85,1,0.054925,trend_following,-978.5760377532348
1050,LEVI,BUY,19.13,1,0.009564999999999999,mean_reversion,-966.3562842804957
1050,MHK,SELL,108.83,1,0.054415,mean_reversion,-966.3562842804957
1051,LEVI,SELL,18.96,1,0.00948,mean_reversion,-1001.4743145309799
1051,MHK,BUY,111.85,1,0.055924999999999996,mean_reversion,-1001.4743145309799
1052,LEVI,BUY,18.38,1,0.00919,mean_reversion,-987.2729794140131
1052,MHK,SELL,109.98,1,0.054990000000000004,mean_reversion,-987.2729794140131
1053,LEVI,SELL,18.56,1,0.00928,mean_reversion,-1017.8774070304224
1053,MHK,BUY,112.94,1,0.05647,mean_reversion,-1017.8774070304224
1054,LEVI,BUY,19.12,1,0.00956,trend_following,-1103.745944946967
1054,MHK,SELL,121.3,1,0.06065,trend_following,-1103.745944946967
1055,LEVI,SELL,19.11,1,0.009555,trend_following,-1144.2582807845165
1055,MHK,BUY,124.97,1,0.062485,trend_following,-1144.2582807845165
1056,LEVI,BUY,18.62,1,0.00931,mean_reversion,-1181.1377169409811
1056,MHK,SELL,127.83,1,0.063915,mean_reversion,-1181.1377169409811
1057,LEVI,SELL,18.95,1,0.009474999999999999,mean_reversion,-1231.117609523175
1057,MHK,BUY,132.7,1,0.06634999999999999,mean_reversion,-1231.117609523175
1058,LEVI,BUY,18.5,1,0.00925,mean_reversion,-1228.0351491877095
1058,MHK,SELL,131.97,1,0.065985,mean_reversion,-1228.0351491877095
1059,LEVI,SELL,18.36,1,0.00918,mean_reversion,-1220.8794376946641
1059,MHK,BUY,131.18,1,0.06559000000000001,mean_reversion,-1220.8794376946641
1060,LEVI,BUY,18.33,1,0.009165,mean_reversion,-1197.6508973095474
1060,MHK,SELL,129.04,1,0.06452,mean_reversion,-1197.6508973095474
