date,ticker,action,price,quantity,commission,cash,portfolio_value
1045,MHK,BUY,108.05,1,0.054025,99995.29536,99995.29536
1046,LEVI,BUY,19.28,1,0.009640000000000001,99976.00572,99992.38572
1046,MHK,SELL,113.59,1,0.056795000000000005,100089.538925,99990.90892500001
1047,LEVI,SELL,19.22,1,0.00961,100108.749315,99993.739315
1047,MHK,BUY,109.9,1,0.054950000000000006,99998.794365,99998.794365
1048,LEVI,BUY,19.08,1,0.00954,99979.704825,99996.084825
1048,MHK,SELL,110.33,1,0.055165,100089.97966,99991.34966
1049,LEVI,SELL,19.04,1,0.009519999999999999,100109.01014,99994.00014
1049,MHK,BUY,109.85,1,0.054925,99999.105215,99999.105215
1050,LEVI,BUY,19.13,1,0.009564999999999999,99979.96565,99996.34565
1050,MHK,SELL,108.83,1,0.054415,100088.741235,99990.111235
1051,LEVI,SELL,18.96,1,0.00948,100107.69175499999,99992.681755
1051,MHK,BUY,111.85,1,0.055924999999999996,99995.78583,99995.78583
1052,LEVI,BUY,18.38,1,0.00919,99977.39663999999,99993.77664
1052,MHK,SELL,109.98,1,0.054990000000000004,100087.32165,99988.69165000001
1053,LEVI,SELL,18.56,1,0.00928,100105.87237,99990.86237
1053,MHK,BUY,112.94,1,0.05647,99992.8759,99992.8759
1054,LEVI,BUY,19.12,1,0.00956,99973.74634,99990.12634
1054,MHK,SELL,121.3,1,0.06065,100094.98569,99996.35569000001
1055,LEVI,SELL,19.11,1,0.009555,100114.086135,99999.07613500001
1055,MHK,BUY,124.97,1,0.062485,99989.05365,99989.05365
1056,LEVI,BUY,18.62,1,0.00931,99970.42434,99986.80434
1056,MHK,SELL,127.83,1,0.063915,100098.190425,99999.560425
1057,LEVI,SELL,18.95,1,0.009474999999999999,100117.13094999999,100002.12095
1057,MHK,BUY,132.7,1,0.06634999999999999,99984.36459999999,99984.36459999999
1058,LEVI,BUY,18.5,1,0.00925,99965.85534999998,99982.23534999999
1058,MHK,SELL,131.97,1,0.065985,100097.75936499998,99999.12936499999
1059,LEVI,SELL,18.36,1,0.00918,100116.11018499998,100001.10018499999
1059,MHK,BUY,131.18,1,0.06559000000000001,99984.86459499998,99984.86459499998
1060,LEVI,BUY,18.33,1,0.009165,99966.52542999998,99982.90542999998
1060,MHK,SELL,129.04,1,0.06452,100095.50090999997,99996.87090999998
1061,LEVI,SELL,18.48,1,0.00924,100113.97166999997,99998.96166999998
1061,MHK,BUY,127.32,1,0.06366,99986.58800999996,99986.58800999996
1062,LEVI,BUY,18.09,1,0.009045000000000001,99968.48896499997,99984.86896499997
1062,MHK,SELL,128.06,1,0.06403,100096.48493499997,99997.85493499998
1063,LEVI,SELL,17.5,1,0.00875,100113.97618499998,99998.96618499998
1063,MHK,BUY,127.18,1,0.06359000000000001,99986.73259499998,99986.73259499998
1064,LEVI,BUY,17.37,1,0.008685,99969.35390999998,99985.73390999998
1064,MHK,SELL,134.5,1,0.06725,100103.78665999998,100005.15666
1065,LEVI,SELL,17.88,1,0.00894,100121.65771999999,100006.64772
1065,MHK,BUY,160.71,1,0.08035500000000001,99960.86736499998,99960.86736499998
1066,LEVI,BUY,18.31,1,0.009155,99942.54820999998,99958.92820999998
1066,MHK,SELL,162.7,1,0.08134999999999999,100105.16685999998,100006.53686
1067,LEVI,SELL,18.26,1,0.009130000000000001,100123.41772999999,100008.40772999999
1067,MHK,BUY,162.1,1,0.08105,99961.23667999999,99961.23667999999
1068,LEVI,BUY,18.33,1,0.009165,99942.89751499999,99959.277515
1068,MHK,SELL,161.07,1,0.080535,100103.88698,100005.25698
1069,LEVI,SELL,17.87,1,0.008935,100121.748045,100006.738045
1069,MHK,BUY,156.48,1,0.07823999999999999,99965.189805,99965.189805
1070,LEVI,BUY,17.15,1,0.008575,99948.03123000001,99964.41123000001
1070,MHK,SELL,152.31,1,0.076155,100100.265075,100001.63507500001
1071,LEVI,SELL,16.95,1,0.008475,100117.2066,100002.19660000001
1071,MHK,BUY,147.0,1,0.0735,99970.1331,99970.1331
1072,LEVI,BUY,17.51,1,0.008755,99952.61434500001,99968.99434500001
1072,MHK,SELL,146.67,1,0.073335,100099.21101000001,100000.58101000002
1073,LEVI,SELL,17.18,1,0.00859,100116.38242000001,100001.37242000001
1073,MHK,BUY,143.44,1,0.07172,99972.87070000001,99972.87070000001
1074,LEVI,BUY,17.68,1,0.00884,99955.18186000001,99971.56186000002
1074,MHK,SELL,145.53,1,0.072765,100100.639095,100002.00909500002
1075,LEVI,SELL,17.52,1,0.00876,100118.15033500001,100003.14033500002
1075,MHK,BUY,146.45,1,0.073225,99971.62711000002,99971.62711000002
1076,LEVI,BUY,17.79,1,0.008895,99953.82821500002,99970.20821500002
1076,MHK,SELL,144.28,1,0.07214,100098.03607500001,99999.40607500002
1077,LEVI,SELL,18.25,1,0.009125,100116.27695000001,100001.26695000002
1077,MHK,BUY,146.88,1,0.07344,99969.32351000002,99969.32351000002
1078,LEVI,BUY,18.06,1,0.00903,99951.25448000002,99967.63448000002
1078,MHK,SELL,144.03,1,0.072015,100095.21246500002,99996.58246500003
